"UKPRN","Institution","Subject","Level","Mode","Continuing at institution","Gained intended award or higher","Gained other award at a lower level","Left without award","Dormant","Two years aggregate data?"
10007801,"UNIVERSITY OF PLYMOUTH","(L3.59) Human and Social Geography","First degree","Full-time",97%,2%,0%,2%,0%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.60) Law","First degree","Full-time",88%,0%,1%,3%,8%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.60) Law","Postgraduate","Full-time",10%,20%,65%,5%,0%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.61) Business studies","First degree","Full-time",75%,15%,3%,2%,6%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.61) Business studies","Other undergraduate","Full-time",51%,0%,0%,7%,41%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.62) Marketing","First degree","Full-time",90%,0%,5%,0%,5%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.63) Management studies","First degree","Full-time",85%,10%,5%,5%,0%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.63) Management studies","Other undergraduate","Part-time",0%,0%,0%,0%,100%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.63) Management studies","Postgraduate","Part-time",35%,35%,25%,0%,10%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.64) Human Resource Management","Postgraduate","Part-time",75%,0%,0%,10%,20%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.66) Accounting","First degree","Full-time",77%,15%,3%,0%,5%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.67) Tourism, Transport and Travel","First degree","Full-time",85%,3%,1%,6%,5%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.67) Tourism, Transport and Travel","Postgraduate","Full-time",11%,69%,3%,17%,0%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.68) Others in Business and Administrative studies","Other undergraduate","Part-time",61%,1%,0%,4%,34%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.75) English studies","First degree","Full-time",86%,2%,1%,9%,3%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.90) History","First degree","Full-time",96%,0%,0%,2%,2%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.95) Fine Art","First degree","Full-time",74%,16%,0%,2%,8%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.96) Design studies","First degree","Full-time",84%,2%,1%,5%,8%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.97) Music","First degree","Full-time",85%,5%,0%,5%,10%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.98) Drama","First degree","Full-time",82%,5%,2%,5%,7%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.100) Cinematics and Photography","First degree","Full-time",90%,0%,0%,0%,10%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.105) Academic studies in Education","First degree","Full-time",65%,28%,0%,3%,4%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.105) Academic studies in Education","Other undergraduate","Part-time",54%,4%,0%,4%,38%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.105) Academic studies in Education","Postgraduate","Part-time",34%,1%,0%,23%,42%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.108) Initial Teacher Training","First degree","Full-time",93%,0%,2%,2%,3%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Full-time",8%,81%,0%,4%,6%,
10007801,"UNIVERSITY OF PLYMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",77%,2%,0%,12%,9%,
10007802,"UNIVERSITY OF READING","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",95%,0%,0%,5%,5%,
10007802,"UNIVERSITY OF READING","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",89%,0%,0%,1%,10%,
10007802,"UNIVERSITY OF READING","(L3.05) Nursing","Postgraduate","Part-time",6%,56%,0%,6%,32%,
10007802,"UNIVERSITY OF READING","(L3.09) Aural and Oral Sciences","First degree","Full-time",95%,0%,0%,5%,5%,
10007802,"UNIVERSITY OF READING","(L3.12) Biology","First degree","Full-time",89%,0%,0%,4%,6%,
10007802,"UNIVERSITY OF READING","(L3.13) Zoology","First degree","Full-time",100%,0%,0%,0%,0%,
10007802,"UNIVERSITY OF READING","(L3.13) Zoology","Postgraduate","Full-time",0%,100%,0%,0%,0%,
10007802,"UNIVERSITY OF READING","(L3.19) Psychology","First degree","Full-time",85%,0%,0%,6%,9%,
10007802,"UNIVERSITY OF READING","(L3.23) Food and Beverage studies","First degree","Full-time",93%,0%,0%,2%,4%,
10007802,"UNIVERSITY OF READING","(L3.23) Food and Beverage studies","Postgraduate","Full-time",2%,89%,7%,2%,0%,
10007802,"UNIVERSITY OF READING","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",85%,0%,0%,5%,10%,
10007802,"UNIVERSITY OF READING","(L3.25) Chemistry","First degree","Full-time",71%,0%,0%,12%,17%,
10007802,"UNIVERSITY OF READING","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",95%,0%,1%,2%,2%,
10007802,"UNIVERSITY OF READING","(L3.31) Physical Geography and Environmental Science","Postgraduate","Full-time",0%,85%,0%,15%,0%,
10007802,"UNIVERSITY OF READING","(L3.32) Mathematics and Statistics","First degree","Full-time",87%,0%,0%,4%,10%,
10007802,"UNIVERSITY OF READING","(L3.35) Computer Science","First degree","Full-time",79%,2%,0%,9%,10%,
10007802,"UNIVERSITY OF READING","(L3.35) Computer Science","Postgraduate","Full-time",30%,60%,5%,0%,5%,
10007802,"UNIVERSITY OF READING","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",82%,0%,0%,3%,15%,
10007802,"UNIVERSITY OF READING","(L3.40) Electronic and Electrical Engineering","Postgraduate","Full-time",50%,45%,0%,5%,0%,
10007802,"UNIVERSITY OF READING","(L3.48) Building","First degree","Full-time",91%,0%,0%,3%,6%,
10007802,"UNIVERSITY OF READING","(L3.48) Building","Postgraduate","Full-time",10%,90%,5%,0%,0%,
10007802,"UNIVERSITY OF READING","(L3.48) Building","Postgraduate","Part-time",91%,0%,0%,6%,3%,
10007802,"UNIVERSITY OF READING","(L3.52) Economics","First degree","Full-time",87%,0%,0%,4%,9%,
10007802,"UNIVERSITY OF READING","(L3.52) Economics","Postgraduate","Full-time",0%,75%,10%,10%,5%,
10007802,"UNIVERSITY OF READING","(L3.53) Politics","First degree","Full-time",86%,0%,0%,6%,8%,
10007802,"UNIVERSITY OF READING","(L3.53) Politics","Postgraduate","Full-time",5%,85%,0%,10%,0%,
10007802,"UNIVERSITY OF READING","(L3.58) Social Work","First degree","Full-time",90%,0%,0%,5%,5%,
10007802,"UNIVERSITY OF READING","(L3.58) Social Work","Postgraduate","Part-time",85%,10%,0%,0%,5%,
10007802,"UNIVERSITY OF READING","(L3.59) Human and Social Geography","First degree","Full-time",95%,0%,0%,5%,0%,
10007802,"UNIVERSITY OF READING","(L3.60) Law","First degree","Full-time",76%,17%,0%,3%,5%,
10007802,"UNIVERSITY OF READING","(L3.61) Business studies","First degree","Full-time",87%,1%,0%,6%,6%,
10007802,"UNIVERSITY OF READING","(L3.61) Business studies","Postgraduate","Full-time",2%,81%,5%,11%,0%,
10007802,"UNIVERSITY OF READING","(L3.63) Management studies","First degree","Full-time",94%,0%,0%,1%,5%,
10007802,"UNIVERSITY OF READING","(L3.63) Management studies","Postgraduate","Full-time",0%,95%,0%,5%,0%,
10007802,"UNIVERSITY OF READING","(L3.63) Management studies","Postgraduate","Part-time",95%,0%,0%,5%,0%,
10007802,"UNIVERSITY OF READING","(L3.65) Finance","First degree","Full-time",89%,0%,0%,0%,11%,
10007802,"UNIVERSITY OF READING","(L3.65) Finance","Postgraduate","Full-time",0%,72%,0%,26%,2%,
10007802,"UNIVERSITY OF READING","(L3.65) Finance","Postgraduate","Part-time",30%,0%,0%,60%,15%,
10007802,"UNIVERSITY OF READING","(L3.66) Accounting","First degree","Full-time",90%,0%,0%,0%,10%,
10007802,"UNIVERSITY OF READING","(L3.75) English studies","First degree","Full-time",88%,0%,0%,5%,7%,
10007802,"UNIVERSITY OF READING","(L3.78) Classics","First degree","Full-time",95%,0%,0%,0%,5%,
10007802,"UNIVERSITY OF READING","(L3.79) French studies","First degree","Full-time",80%,0%,0%,10%,5%,
10007802,"UNIVERSITY OF READING","(L3.84) Linguistics","Postgraduate","Full-time",10%,60%,0%,25%,5%,
10007802,"UNIVERSITY OF READING","(L3.84) Linguistics","Postgraduate","Part-time",35%,0%,0%,65%,0%,
10007802,"UNIVERSITY OF READING","(L3.90) History","First degree","Full-time",92%,0%,0%,3%,5%,
10007802,"UNIVERSITY OF READING","(L3.90) History","Other undergraduate","Part-time",75%,0%,0%,10%,15%,
10007802,"UNIVERSITY OF READING","(L3.91) Archaeology","First degree","Full-time",90%,0%,0%,0%,10%,
10007802,"UNIVERSITY OF READING","(L3.93) Philosophy","First degree","Full-time",84%,0%,0%,8%,9%,
10007802,"UNIVERSITY OF READING","(L3.95) Fine Art","First degree","Full-time",76%,0%,0%,18%,6%,
10007802,"UNIVERSITY OF READING","(L3.98) Drama","First degree","Full-time",88%,0%,0%,8%,4%,
10007802,"UNIVERSITY OF READING","(L3.105) Academic studies in Education","First degree","Full-time",0%,95%,0%,0%,5%,
10007802,"UNIVERSITY OF READING","(L3.105) Academic studies in Education","Other undergraduate","Full-time",95%,0%,0%,2%,3%,
10007802,"UNIVERSITY OF READING","(L3.105) Academic studies in Education","Postgraduate","Full-time",10%,85%,5%,0%,0%,
10007802,"UNIVERSITY OF READING","(L3.106) Others in Education","Postgraduate","Full-time",12%,81%,3%,3%,0%,
10007802,"UNIVERSITY OF READING","(L3.106) Others in Education","Postgraduate","Part-time",54%,3%,1%,8%,35%,
10007802,"UNIVERSITY OF READING","(L3.107) Combined","First degree","Full-time",65%,0%,0%,10%,25%,
10007802,"UNIVERSITY OF READING","(L3.107) Combined","Other undergraduate","Part-time",30%,0%,0%,1%,69%,
10007802,"UNIVERSITY OF READING","(L3.108) Initial Teacher Training","First degree","Full-time",89%,0%,0%,4%,7%,
10007802,"UNIVERSITY OF READING","(L3.108) Initial Teacher Training","Postgraduate","Full-time",4%,80%,0%,8%,8%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.01) Medicine","First degree","Full-time",97%,0%,2%,0%,1%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.12) Biology","First degree","Full-time",91%,2%,3%,1%,3%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.12) Biology","Postgraduate","Full-time",0%,100%,0%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.19) Psychology","First degree","Full-time",100%,0%,0%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.19) Psychology","Postgraduate","Part-time",35%,40%,0%,20%,5%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.25) Chemistry","First degree","Full-time",88%,4%,8%,0%,1%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.26) Physics and Astronomy","First degree","Full-time",96%,0%,3%,0%,1%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",95%,0%,5%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.32) Mathematics and Statistics","First degree","Full-time",96%,0%,3%,0%,1%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.52) Economics","First degree","Full-time",92%,0%,5%,0%,3%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.52) Economics","Postgraduate","Full-time",0%,97%,3%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.53) Politics","First degree","Full-time",94%,1%,4%,0%,1%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.53) Politics","Postgraduate","Full-time",80%,16%,4%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.53) Politics","Postgraduate","Part-time",75%,5%,5%,10%,10%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.56) Anthropology","First degree","Full-time",85%,0%,5%,0%,5%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.57) Others in Social studies","Other undergraduate","Part-time",0%,95%,0%,5%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.59) Human and Social Geography","First degree","Full-time",100%,0%,0%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.61) Business studies","First degree","Full-time",95%,0%,5%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.61) Business studies","Postgraduate","Full-time",1%,92%,7%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.75) English studies","First degree","Full-time",95%,1%,4%,0%,1%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.75) English studies","Postgraduate","Full-time",40%,55%,5%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.78) Classics","First degree","Full-time",90%,0%,5%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.79) French studies","First degree","Full-time",95%,0%,5%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.82) Iberian studies","First degree","Full-time",95%,0%,0%,0%,5%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.83) Others in European Languages and Area studies","First degree","Full-time",90%,0%,10%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.83) Others in European Languages and Area studies","Other undergraduate","Part-time",0%,100%,0%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.90) History","First degree","Full-time",95%,0%,4%,0%,1%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.90) History","Other undergraduate","Part-time",0%,100%,0%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.90) History","Postgraduate","Full-time",32%,55%,14%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.90) History","Postgraduate","Part-time",55%,45%,0%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.93) Philosophy","First degree","Full-time",95%,0%,5%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.93) Philosophy","Postgraduate","Full-time",90%,10%,0%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.94) Theology and Religious studies","First degree","Full-time",95%,0%,5%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.107) Combined","First degree","Full-time",85%,0%,15%,0%,0%,
10007803,"UNIVERSITY OF ST ANDREWS","(L3.107) Combined","First degree","Part-time",80%,0%,15%,0%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.05) Nursing","First degree","Full-time",88%,0%,1%,9%,3%,
10007804,"UNIVERSITY OF STIRLING","(L3.05) Nursing","Other undergraduate","Full-time",81%,0%,0%,11%,8%,
10007804,"UNIVERSITY OF STIRLING","(L3.05) Nursing","Other undergraduate","Part-time",5%,95%,0%,0%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.12) Biology","First degree","Full-time",90%,0%,0%,10%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.19) Psychology","First degree","Full-time",92%,0%,1%,3%,3%,
10007804,"UNIVERSITY OF STIRLING","(L3.19) Psychology","Other undergraduate","Full-time",90%,0%,0%,5%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",88%,0%,0%,8%,4%,
10007804,"UNIVERSITY OF STIRLING","(L3.31) Physical Geography and Environmental Science","Postgraduate","Full-time",70%,20%,10%,0%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.35) Computer Science","First degree","Full-time",80%,0%,0%,10%,10%,
10007804,"UNIVERSITY OF STIRLING","(L3.35) Computer Science","Postgraduate","Full-time",85%,5%,5%,5%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.50) Planning (Urban, Rural and Regional)","Postgraduate","Part-time",85%,5%,0%,5%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.52) Economics","First degree","Full-time",85%,0%,5%,5%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.53) Politics","First degree","Full-time",80%,0%,5%,10%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.54) Sociology","First degree","Full-time",83%,0%,3%,5%,9%,
10007804,"UNIVERSITY OF STIRLING","(L3.58) Social Work","First degree","Full-time",80%,0%,0%,5%,15%,
10007804,"UNIVERSITY OF STIRLING","(L3.58) Social Work","Other undergraduate","Part-time",17%,73%,0%,6%,3%,
10007804,"UNIVERSITY OF STIRLING","(L3.58) Social Work","Postgraduate","Full-time",75%,0%,5%,5%,15%,
10007804,"UNIVERSITY OF STIRLING","(L3.58) Social Work","Postgraduate","Part-time",80%,10%,0%,0%,10%,
10007804,"UNIVERSITY OF STIRLING","(L3.60) Law","First degree","Full-time",83%,0%,2%,10%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.61) Business studies","First degree","Full-time",86%,0%,5%,7%,1%,
10007804,"UNIVERSITY OF STIRLING","(L3.61) Business studies","Postgraduate","Full-time",86%,8%,5%,2%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.62) Marketing","First degree","Full-time",80%,5%,0%,10%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.62) Marketing","Postgraduate","Full-time",93%,2%,2%,3%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.63) Management studies","Postgraduate","Full-time",70%,10%,10%,5%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.63) Management studies","Postgraduate","Part-time",74%,0%,5%,9%,11%,
10007804,"UNIVERSITY OF STIRLING","(L3.64) Human Resource Management","Postgraduate","Full-time",75%,15%,15%,0%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.65) Finance","First degree","Full-time",80%,0%,0%,15%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.65) Finance","Postgraduate","Full-time",84%,6%,3%,5%,3%,
10007804,"UNIVERSITY OF STIRLING","(L3.66) Accounting","First degree","Full-time",87%,0%,0%,6%,7%,
10007804,"UNIVERSITY OF STIRLING","(L3.66) Accounting","Other undergraduate","Part-time",4%,96%,0%,0%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.67) Tourism, Transport and Travel","First degree","Full-time",87%,0%,1%,5%,7%,
10007804,"UNIVERSITY OF STIRLING","(L3.69) Media studies","First degree","Full-time",94%,0%,2%,4%,1%,
10007804,"UNIVERSITY OF STIRLING","(L3.72) Publishing","Postgraduate","Full-time",25%,75%,0%,0%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.73) Journalism","First degree","Full-time",85%,0%,0%,10%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.75) English studies","First degree","Full-time",88%,0%,1%,9%,2%,
10007804,"UNIVERSITY OF STIRLING","(L3.79) French studies","First degree","Full-time",90%,0%,0%,10%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.90) History","First degree","Full-time",92%,0%,2%,4%,3%,
10007804,"UNIVERSITY OF STIRLING","(L3.93) Philosophy","First degree","Full-time",70%,0%,10%,10%,10%,
10007804,"UNIVERSITY OF STIRLING","(L3.105) Academic studies in Education","Postgraduate","Part-time",78%,4%,0%,3%,16%,
10007804,"UNIVERSITY OF STIRLING","(L3.108) Initial Teacher Training","First degree","Full-time",79%,3%,3%,10%,6%,
10007804,"UNIVERSITY OF STIRLING","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",55%,45%,0%,0%,0%,
10007804,"UNIVERSITY OF STIRLING","(L3.108) Initial Teacher Training","Postgraduate","Full-time",15%,80%,0%,5%,5%,
10007804,"UNIVERSITY OF STIRLING","(L3.108) Initial Teacher Training","Postgraduate","Part-time",70%,0%,20%,10%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.04) Pharmacology, Toxicology and Pharmacy","Postgraduate","Full-time",78%,16%,1%,1%,4%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",95%,0%,0%,5%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Full-time",10%,75%,0%,5%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Part-time",58%,31%,0%,2%,10%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.12) Biology","First degree","Full-time",90%,0%,0%,5%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.15) Microbiology","First degree","Full-time",80%,0%,0%,10%,10%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.18) Sports Science","First degree","Full-time",80%,0%,5%,15%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.19) Psychology","First degree","Full-time",84%,0%,0%,9%,7%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.19) Psychology","Postgraduate","Full-time",95%,0%,0%,5%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.23) Food and Beverage studies","Postgraduate","Full-time",0%,75%,10%,5%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.25) Chemistry","First degree","Full-time",79%,2%,2%,6%,10%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.25) Chemistry","Postgraduate","Full-time",0%,81%,15%,0%,4%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.26) Physics and Astronomy","First degree","Full-time",85%,0%,0%,15%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.27) Forensic and Archaeological Science","First degree","Full-time",92%,0%,0%,3%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.27) Forensic and Archaeological Science","Postgraduate","Full-time",0%,85%,15%,0%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.30) Others in Physical Sciences","First degree","Full-time",75%,0%,0%,20%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.32) Mathematics and Statistics","First degree","Full-time",77%,0%,0%,17%,6%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.35) Computer Science","First degree","Full-time",85%,0%,0%,11%,4%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.35) Computer Science","Postgraduate","Full-time",4%,65%,10%,4%,18%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",88%,0%,0%,8%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Full-time",0%,100%,0%,0%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.37) Mechanical, Production and Manufacturing Engineering","Postgraduate","Full-time",0%,80%,10%,5%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.39) Naval Architecture","First degree","Full-time",82%,1%,0%,13%,4%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.39) Naval Architecture","Postgraduate","Full-time",5%,85%,0%,5%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",91%,1%,1%,5%,3%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.40) Electronic and Electrical Engineering","Postgraduate","Full-time",0%,80%,0%,0%,15%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.41) Civil Engineering","First degree","Full-time",80%,0%,0%,15%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.42) Chemical, Process and Energy Engineering","First degree","Full-time",91%,0%,0%,6%,3%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.42) Chemical, Process and Energy Engineering","First degree","Part-time",70%,0%,5%,0%,25%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.47) Architecture","First degree","Full-time",80%,0%,0%,10%,11%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.47) Architecture","Postgraduate","Full-time",11%,74%,7%,4%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.52) Economics","First degree","Full-time",86%,0%,0%,10%,4%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.52) Economics","Postgraduate","Full-time",0%,75%,5%,0%,25%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.53) Politics","First degree","Full-time",89%,0%,0%,8%,4%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.54) Sociology","First degree","Full-time",87%,0%,0%,9%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.58) Social Work","First degree","Full-time",85%,0%,1%,13%,1%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.58) Social Work","Postgraduate","Full-time",85%,0%,5%,0%,10%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.58) Social Work","Postgraduate","Part-time",64%,20%,0%,7%,9%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.59) Human and Social Geography","First degree","Full-time",80%,0%,0%,10%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.60) Law","First degree","Full-time",86%,1%,0%,10%,3%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.60) Law","First degree","Part-time",65%,0%,0%,15%,20%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.60) Law","Postgraduate","Full-time",2%,94%,1%,0%,2%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.60) Law","Postgraduate","Part-time",83%,1%,0%,4%,12%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.61) Business studies","First degree","Full-time",91%,0%,0%,4%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.61) Business studies","Other undergraduate","Full-time",0%,100%,0%,0%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.61) Business studies","Postgraduate","Full-time",0%,85%,2%,2%,10%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.61) Business studies","Postgraduate","Part-time",49%,35%,0%,4%,12%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.62) Marketing","First degree","Full-time",87%,3%,0%,8%,2%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.62) Marketing","Postgraduate","Full-time",0%,90%,9%,1%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.63) Management studies","First degree","Full-time",85%,0%,0%,15%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.64) Human Resource Management","First degree","Full-time",85%,0%,0%,5%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.64) Human Resource Management","Postgraduate","Full-time",0%,80%,0%,10%,10%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.64) Human Resource Management","Postgraduate","Part-time",60%,25%,0%,0%,15%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.65) Finance","First degree","Full-time",90%,0%,0%,5%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.65) Finance","Postgraduate","Full-time",0%,90%,0%,5%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.66) Accounting","First degree","Full-time",90%,0%,0%,10%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.67) Tourism, Transport and Travel","First degree","Full-time",65%,9%,0%,20%,6%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.67) Tourism, Transport and Travel","Postgraduate","Full-time",0%,65%,20%,5%,10%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.68) Others in Business and Administrative studies","First degree","Full-time",85%,0%,0%,10%,5%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.73) Journalism","Postgraduate","Full-time",0%,85%,10%,5%,0%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.75) English studies","First degree","Full-time",84%,0%,0%,8%,8%,
10007805,"UNIVERSITY OF STRATHCLYDE","(L3.75) English studies","Other undergraduate","Part-time",0%,0%,0%,1%,99%,
